pmid,title,gt_count,retrieved,hits,recall,retrieved_pre_rerank,hits_pre_rerank,recall_pre_rerank,rank_recall_100,rank_recall_500,rank_recall_2000,missed_pmids,error
33746596,Efficacy and Safety of CAR-T Therapy for ...,9,500,8,0.8889,500,8,0.8889,0.4444,0.8889,1.0,27270177,
32621264,Is PEGylated G-CSF superior to G-CSF in patients with breast cancer receiving ch,9,500,6,0.6667,500,6,0.6667,0.0,0.6667,1.0,30181755|31205914|31700918,
34761879,Comparison of allogeneic hematopoietic stem cell transplantation and TKI combine,14,500,7,0.5,500,7,0.5,0.0,0.5,0.7857,22650180|24730539|25682595|26065651|29046900|30501869|30988558,
33515668,Meta-analysis of chemotherapy in head and neck cancer (MACH-NC): An update on 10,91,500,4,0.044,500,4,0.044,0.0,0.044,0.1429,10679658|10735893|11054514|11189100|11483325|11716226|1197760|12504039|12506176|12758236|1302472|1376306|1378641|1390316|14645636|14657228|15128893|15128894|1524042|15299181|15534360|15547184|15718308|1612948|16376489|1642831|1642879|1695801|1703916|1718348|17197122|1767060|18091334|18222010|19875337|20032123|20572581|20888709|21300466|21567001|21831465|2211266|2262356|22749632|23129742|2317751|23182993|2414253|2417476|2418400|2419292|2420153|2428668|2451135|2501243|25224814|26124084|2650723|27494036|2885080|3054373|3121233|3550340|3580158|384188|4852531|6162599|6203024|7410127|7539873|7540606|75878|7691784|7989940|8113846|8158680|8233298|8454478|8609658|8688226|88754|8938220|8985019|9165133|9165134|9552032|9632446,
33735801,Adjuvant endocrine therapy in HER2-positive breast cancer patients: systematic r,6,500,4,0.6667,500,4,0.6667,0.3333,0.6667,0.6667,26598744|29863451,
35259419,Point-A vs. volume-based brachytherapy for the treatment of cervix cancer: A met,23,500,15,0.6522,500,15,0.6522,0.1739,0.6522,0.8261,24563532|24673947|25680598|26478798|27734106|29619052|30630883|30649485,
32539858,Survival outcomes of neoadjuvant versus adjuvant chemotherapy in triple-negative,7,500,3,0.4286,500,3,0.4286,0.0,0.4286,1.0,20599225|21725686|29348858|30290661,
37168849,Outcomes with chimeric antigen receptor t-cell therapy in relapsed or refractory,11,471,6,0.5455,471,6,0.5455,0.0,0.5455,0.5455,28864289|29703727|30631098|33495835|33624009,
34167181,Microwave ablation compared with radiofrequency ablation for the treatment of li,15,500,10,0.6667,500,10,0.6667,0.0,0.6667,0.8667,24196263|27387188|27884919|29929785|31183208,
37066936,Comparison of chronic gastrointestinal and genitourinary toxicities between brac,15,500,7,0.4667,500,7,0.4667,0.0,0.4667,0.9333,19853533|26279031|27720311|28992050|29936128|30479615|31072729|32642874,
