pmid,title,abstract,qid,nct_ids,pmcid
17633579,Chemotherapy induced myelosuppression.,"To evaluate chemotherapy induced myelosuppression, its management and outcome. Retrospective analysis of patients aged 13 years and above. Hurlingham Oncology Clinic and the Nairobi Hospital during th…",08e1f684acf1,,
29484498,Bendamustine and G-CSF support.,…,08e1f684acf1,,
39440714,Rates of febrile neutropenia and its causes in the real world.,Aim:  Characterize febrile neutropenia in the real-world and explore potentially modifiable risk factors. Patients & methods:  Characteristics of patient presenting with febrile neutropenia after syst…,08e1f684acf1,,
35929962,Colony stimulating factors for prophylaxis of chemotherapy-induced neutropenia in children.,Febrile neutropenia (FN) is one of the complications of chemotherapy that can increase the risk of infection and mortality. Granulocyte colony-stimulating factors (G-CSFs) are used in practice to prev…,08e1f684acf1,,
39533204,Exploring optimal administration timing of pegylated recombinant human granulocyte colony-stimulating factor for chemotherapy-induced neutropenia in early breast cancer treated with pharmorubicin and endoxan: a prospective randomized controlled clinical trial.,"Pegylated recombinant human granulocyte colony-stimulating factor (PEG-rhG-CSF) is a treatment for preventing febrile neutropenia (FN) in patients with early breast cancer. However, the optimal inject…",08e1f684acf1,NCT04477616,
24320592,[OPERa Study].,"On the whole, most European and international guidelines recommend prophylactic use of granulocyte-colony stimulating factors (G-CSFs) when the risk of chemotherapy-induced febrile neutropenia (FN) in…",08e1f684acf1,,
39272058,"A randomized, multicenter phase III Study of once-per-cycle administration of efbemalenograstim alfa (F-627), a novel long-acting rhG-CSF, for prophylaxis of chemotherapy-induced neutropenia in patients with breast cancer.",F-627 (efbemalenograstim alfa) is a novel long acting granulocyte colony-stimulating factor (G-CSF) that contains two human G-CSF fused to a human immunoglobulin G2 (hIgG2) -Fc fragment with a peptide…,08e1f684acf1,NCT04174599,
16108418,Improving the management of chemotherapy-induced neutropenia.,…,08e1f684acf1,,
36854498,Half Dose Pegfilgrastim for Patients With Breast Cancer During Chemotherapy: A Case-series.,This study aimed to show the trend of neutrophil counts and frequency of febrile neutropenia after changing pegfilgrastim from 3.6 mg to 1.8 mg. This case-series study was performed between April 2016…,08e1f684acf1,,
34859963,Improved risk prediction of chemotherapy-induced neutropenia-model development and validation with real-world data.,The existing risk prediction models for chemotherapy-induced febrile neutropenia (FN) do not necessarily apply to real-life patients in different healthcare systems and the external validation of thes…,08e1f684acf1,,
35037775,Chemotherapy-induced neutropenia among breast Cancer patients in a tertiary care hospital: Risk and consequences.,To identify the risk factors that may predispose breast cancer patients to Chemotherapy-induced neutropenia (CIN) and its associated complications for the years 2018 and 2020. CIN is an established co…,08e1f684acf1,,
31814585,Chemotherapy-induced febrile neutropenia: primary G-CSF prophylaxis indicated during docetaxel cycles.,"Chemotherapy-induced febrile neutropaenia (FN) is a common and life-threatening adverse event, which can be largely prevented by the use of granulocyte colony-stimulating factor (G-CSF); G-CSF, howeve…",08e1f684acf1,,
30997742,Risk factors for neutropenia and febrile neutropenia following prophylactic pegfilgrastim.,"Neutropenia is a common side effect of myelosuppressive chemotherapy. Administration of granulocyte colony-stimulating factor is being used for neutropenia prophylaxis, but there are patients who deve…",08e1f684acf1,,
36271187,Impact of oral hygiene on febrile neutropenia during breast cancer chemotherapy.,Oral hygiene is crucial in the management of oral and febrile complications during chemotherapy for cancer. This study aimed to investigate the impact of oral hygiene on the incidence of febrile neutr…,08e1f684acf1,,
33093252,Lipegfilgrastim for prophylaxis of chemotherapy-induced neutropenia in Dutch patients.,"Chemotherapy (CT)-induced neutropenia and febrile neutropenia (FN) can lead to changes in the treatment plan, potentially worsening the cancer outcome. This study evaluated the effect of the glycopegy…",08e1f684acf1,,
31622064,The long-term social value of granulocyte colony-stimulating factors.,"Febrile neutropenia (FN) is a life-threatening complication of chemotherapy that can lead to hospitalizations, chemotherapy dose reductions or delays, and mortality. Granulocyte colony-stimulating fac…",08e1f684acf1,,
31910384,"NCCN Guidelines Insights: Hematopoietic Growth Factors, Version 1.2020.",Management of febrile neutropenia (FN) is an integral part of supportive care for patients undergoing cancer treatment. The NCCN Guidelines for Hematopoietic Growth Factors provide suggestions for app…,08e1f684acf1,,
35708316,Real-world febrile neutropenia rates with same-day versus next-day pegfilgrastim after myelosuppressive chemotherapy.,"Aim:  To compare the incidence of febrile neutropenia (FN) after same-day versus next-day pegfilgrastim.  Materials & methods:  This single-institution, real-world, retrospective electronic health rec…",08e1f684acf1,,
40098083,"Telpegfilgrastim for chemotherapy-induced neutropenia in patients with non-small cell lung cancer: a multicentre, randomized, phase 3 study.",Chemotherapy-induced neutropenia (CIN) is usually managed by recombinant human granulocyte colony stimulating factor (rhG-CSF) and pegylated rhG-CSF (PEG-rhG-CSF). This study evaluated the efficacy an…,08e1f684acf1,NCT04466137,
33753622,Safety profile of G-CSF in chemotherapy-induced neutropenia: A prospective observational study in Eastern India.,"Granulocyte-colony stimulating factor (G-CSF) is used in cancer patients to treat chemotherapy-induced neutropenia (CIN). However, G-CSF poses few risks. Despite the regular use of G-CSF in CIN manage…",08e1f684acf1,,
34010932,Safety and Efficacy of Pegteograstim on Chemotherapy-induced Neutropenia in Children and Adolescents With Solid Tumors.,Pegteograstim (Neulapeg) is a recombinant human granulocyte colony-stimulating factor conjugated with methoxy-maleimide-polyethylene glycol. We conducted a single-arm study investigating its safety an…,08e1f684acf1,NCT02787876,
12488286,Pegfilgrastim: the promise of pegylation fulfilled.,…,08e1f684acf1,,
40329331,"8MW0511, a novel, long-acting granulocyte-colony stimulating factor fusion protein for the prevention of chemotherapy-induced neutropenia: final results from the phase III clinical trial.","8MW0511 is a novel, long-acting recombinant human granulocyte-colony stimulating factor (G-CSF) produced by the fusion of the N-terminus of highly active modified G-CSF with the C-terminus of human se…",08e1f684acf1,,
32405154,Personalized cancer supportive care in COVID-19 era.,…,08e1f684acf1,,
36456156,Predictive Factors of Febrile Neutropenia After Primary Prophylactic Pegfilgrastim With DCF Chemotherapy for Esophageal Cancer.,We investigated the predictive factors of febrile neutropenia (FN) after the administration of pegfilgrastim as primary prophylaxis in patients with esophageal cancer who received neoadjuvant chemothe…,08e1f684acf1,,
16873438,Primary or secondary G-CSF prophylaxis to support TAC chemotherapy in breast cancer?,…,08e1f684acf1,,
30124123,Overuse and underuse of pegfilgrastim for primary prophylaxis of febrile neutropenia.,Guidelines recommend pegfilgrastim for primary prophylaxis of febrile neutropenia after highly myelosuppressive chemotherapy. While deviations from guidelines could result in overuse and increased cos…,08e1f684acf1,,
