pmid,title,abstract,qid,nct_ids,pmcid
37116523,"Quizartinib plus chemotherapy in newly diagnosed patients with FLT3-internal-tandem-duplication-positive acute myeloid leukaemia (QuANTUM-First): a randomised, double-blind, placebo-controlled, phase 3 trial.","Patients with acute myeloid leukaemia (AML) positive for internal tandem duplication (ITD) mutations of FLT3 have poor outcomes. Quizartinib, an oral, highly potent, selective, type 2 FLT3 inhibitor, …",6d09b924e073,NCT02668653,
38471061,Gilteritinib as Post-Transplant Maintenance for AML With Internal Tandem Duplication Mutation of  FLT3 .,Allogeneic hematopoietic cell transplantation (HCT) improves outcomes for patients with AML harboring an internal tandem duplication mutation of  FLT3  ( FLT3-ITD ) AML. These patients are routinely t…,6d09b924e073,NCT02997202,
39775763,Measurable residual disease and posttransplantation gilteritinib maintenance for patients with FLT3-ITD-mutated AML.,"BMT CTN (Blood and Marrow Transplant Clinical Trials Network) 1506 (""MORPHO"") was a randomized study of gilteritinib compared with placebo as maintenance therapy after hematopoietic cell transplantati…",6d09b924e073,NCT02997202,
35081255,Follow-up of patients with R/R FLT3-mutation-positive AML treated with gilteritinib in the phase 3 ADMIRAL trial.,The phase 3 ADMIRAL (NCT02421939; Study ID: 2215-CL-0301) trial showed superior overall survival in patients with relapsed/refractory FLT3-mutation-positive acute myeloid leukemia (AML) randomized 2:1…,6d09b924e073,NCT02421939,
32673171,Sorafenib Maintenance After Allogeneic Hematopoietic Stem Cell Transplantation for Acute Myeloid Leukemia With  FLT3 -Internal Tandem Duplication Mutation (SORMAIN).,"Despite undergoing allogeneic hematopoietic stem cell transplantation (HCT), patients with acute myeloid leukemia (AML) with internal tandem duplication mutation in the  FMS- like tyrosine kinase 3 ge…",6d09b924e073,,
39019012,Metformin synergizes with gilteritinib in treating FLT3-mutated leukemia via targeting PLK1 signaling.,"Fms-like tyrosine kinase 3 (FLT3) mutations, present in over 30% of acute myeloid leukemia (AML) cases and dominated by FLT3-internal tandem duplication (FLT3-ITD), are associated with poor outcomes i…",6d09b924e073,,
34914826,Blinatumomab maintenance after allogeneic hematopoietic cell transplantation for B-lineage acute lymphoblastic leukemia.,Patients with B-lineage acute lymphoblastic leukemia (ALL) are at high-risk for relapse after allogeneic hematopoietic cell transplantation (HCT). We conducted a single-center phase 2 study evaluating…,6d09b924e073,NCT02807883,
31175001,"Quizartinib versus salvage chemotherapy in relapsed or refractory FLT3-ITD acute myeloid leukaemia (QuANTUM-R): a multicentre, randomised, controlled, open-label, phase 3 trial.","Patients with relapsed or refractory FLT3 internal tandem duplication (FLT3-ITD)-positive acute myeloid leukaemia have a poor prognosis, including high frequency of relapse, poorer response to salvage…",6d09b924e073,NCT02039726,
41052406,FLT3-ITD measurable residual disease from the QuANTUM-First trial.,"QuANTUM-First was a randomized trial that demonstrated that the addition of quizartinib, a potent and selective FMS-like tyrosine kinase 3 (FLT3) inhibitor, to induction and consolidation chemotherapy…",6d09b924e073,NCT02668653,
41082703,"Quizartinib for Newly Diagnosed  FLT3 -Internal Tandem Duplication-Negative AML: The Randomized, Double-Blind, Placebo-Controlled, Phase II QUIWI Study.","Quizartinib, an oral, selective, second-generation, type-II FMS-like tyrosine kinase 3 (FLT3) inhibitor with high binding affinity to internal tandem duplication (ITD) and wild-type (WT) FLT3, has sho…",6d09b924e073,,
39180903,"Triplet therapy with gilteritinib, venetoclax, and azacitidine for relapsed/refractory FLT3 mut  acute myeloid leukemia.",The FMS-related tyrosine kinase 3 (FLT3) inhibitor gilteritinib is standard therapy for relapsed/refractory (R/R) FLT3-mutated (FLT3 mut ) acute myeloid leukemia (AML) but the overall survival (OS) is…,6d09b924e073,,
39821010,Post-transplant TKIs for Ph+ ALL: practices to date and clinical significance.,Post-transplant tyrosine kinase inhibitors (TKIs) show promise in preventing relapse after allogeneic hematopoietic cell transplantation (allo-HCT) for Philadelphia chromosome-positive acute lymphobla…,6d09b924e073,,
36071219,S1P/S1PR1 signaling differentially regulates the allogeneic response of CD4 and CD8 T cells by modulating mitochondrial fission.,Graft-versus-host disease (GVHD) significantly contributes to patient morbidity and mortality after allogeneic hematopoietic cell transplantation (allo-HSCT). Sphingosine-1-phosphate (S1P) signaling i…,6d09b924e073,,
40106768,Low rates of chronic graft-versus-host disease with ruxolitinib maintenance following allogeneic HCT.,"Despite recent advances in graft-versus-host disease (GVHD) prophylaxis, novel approaches to effective prevention of chronic GVHD (cGVHD) remain of high importance. In this prospective, multicenter, p…",6d09b924e073,NCT03286530,
35551662,Immune-Based Therapeutic Interventions for Acute Myeloid Leukemia.,"Acute myeloid leukemia (AML) is an aggressive, clonally heterogeneous, myeloid malignancy, with a 5-year overall survival of approximately 27%. It constitutes the most common acute leukemia in adults,…",6d09b924e073,,
38197938,Prophylactic maintenance with venetoclax/azacitidine after reduced-intensity conditioning allogeneic transplant for high-risk MDS and AML.,We conducted a phase 1 trial assessing safety and efficacy of prophylactic maintenance therapy with venetoclax and azacitidine (Ven/Aza) for patients with high-risk myelodysplastic syndromes (MDS)/acu…,6d09b924e073,NCT03613532,
40079105,Impact of hematopoietic cell transplantation and quizartinib in newly diagnosed patients with acute myeloid leukemia and FMS-like tyrosine kinase 3-internal tandem duplications in the QuANTUM-First trial.,QuANTUM-First (ClinicalTrials.gov identifier: NCT02668653) was a randomized phase III trial in patients with newly diagnosed FLT3-internal tandem duplication (ITD)-positive acute myeloid leukemia (AML…,6d09b924e073,NCT02668653,
40828961,Prognostic covariates associated with outcomes in patients with NPM1-mutated acute myeloid leukemia.,"NPM1 mutacute myeloid leukemia (AML) patients have greater heterogeneity. However, data on the comprehensive integration of clinical and genetic data in NPM1mutAML patients are limited, especially in …",6d09b924e073,,
36526260,Outcomes in Patients with FLT3-Mutated Relapsed/ Refractory Acute Myelogenous Leukemia Who Underwent Transplantation in the Phase 3 ADMIRAL Trial of Gilteritinib versus Salvage Chemotherapy.,The fms-like tyrosine kinase 3 (FLT3) inhibitor gilteritinib improved the survival of patients with relapsed or refractory (R/R) FLT3-mutated acute myelogenous leukemia (AML) in the phase 3 ADMIRAL tr…,6d09b924e073,,
35349331,Sorafenib in Combination With Standard Chemotherapy for Children With High Allelic Ratio  FLT3 /ITD+ Acute Myeloid Leukemia: A Report From the Children's Oncology Group Protocol AAML1031.,"High allelic ratio (HAR)  FLT3 /ITD (AR > 0.4) mutations confer poor prognosis in pediatric acute myeloid leukemia (AML). COG AAML1031 studied the feasibility and efficacy of adding sorafenib, a multi…",6d09b924e073,,
38066845,"Chronic GVHD: review advances in prevention, novel endpoints, and targeted strategies.",Allogeneic hematopoietic cell transplantation (allo-HCT) is a curative therapy for many malignant and non-malignant hematologic disorders. Chronic graft-versus-host (cGVHD) disease remains a significa…,6d09b924e073,,
33108244,"Effect of rhG-CSF Combined With Decitabine Prophylaxis on Relapse of Patients With High-Risk MRD-Negative AML After HSCT: An Open-Label, Multicenter, Randomized Controlled Trial.",Relapse is a major cause of treatment failure after allogeneic hematopoietic stem-cell transplantation (allo-HSCT) for high-risk acute myeloid leukemia (HR-AML). The aim of this study was to explore t…,6d09b924e073,,
40737595,Disease risk but not remission status determines transplant outcomes in AML: long-term outcomes of the ASAP trial.,"Attempting to induce a complete remission before allogeneic hematopoietic cell transplant (alloHCT) is current practice in patients with acute myeloid leukemia (AML). However, benefit of remission ind…",6d09b924e073,NCT02461537,
36227687,Fibroblastic reticular cells mitigate acute GvHD via MHCII-dependent maintenance of regulatory T cells.,Acute graft versus host disease (aGvHD) is a life-threatening complication of allogeneic hematopoietic cell transplantation (allo-HCT) inflicted by alloreactive T cells primed in secondary lymphoid or…,6d09b924e073,,
