pmid,title,abstract,qid,nct_ids,pmcid
38471061,Gilteritinib as Post-Transplant Maintenance for AML With Internal Tandem Duplication Mutation of  FLT3 .,Allogeneic hematopoietic cell transplantation (HCT) improves outcomes for patients with AML harboring an internal tandem duplication mutation of  FLT3  ( FLT3-ITD ) AML. These patients are routinely t…,6d09b924e073,NCT02997202,
32673171,Sorafenib Maintenance After Allogeneic Hematopoietic Stem Cell Transplantation for Acute Myeloid Leukemia With  FLT3 -Internal Tandem Duplication Mutation (SORMAIN).,"Despite undergoing allogeneic hematopoietic stem cell transplantation (HCT), patients with acute myeloid leukemia (AML) with internal tandem duplication mutation in the  FMS- like tyrosine kinase 3 ge…",6d09b924e073,,
38968140,Outcomes of hematopoietic stem cell transplantation in 813 pediatric patients with Fanconi anemia.,Allogeneic hematopoietic stem cell transplantation (HSCT) is the only established curative option for Fanconi anemia (FA)-associated bone marrow failure (BMF)/aplastic anemia (AA) and acute myeloid le…,6d09b924e073,,
38364112,Postinduction molecular MRD identifies patients with NPM1 AML who benefit from allogeneic transplant in first remission.,Selection of patients with NPM1-mutated acute myeloid leukemia (AML) for allogeneic transplant in first complete remission (CR1-allo) remains controversial because of a lack of robust data. Consequent…,6d09b924e073,,
38696205,Measurable Residual FLT3 Internal Tandem Duplication Before Allogeneic Transplant for Acute Myeloid Leukemia.,Persistence of FLT3 internal tandem duplication (ITD) in adults with acute myeloid leukemia (AML) in first complete remission (CR) prior to allogeneic hematopoietic cell transplant (HCT) is associated…,6d09b924e073,,
28380315,Myeloablative Versus Reduced-Intensity Hematopoietic Cell Transplantation for Acute Myeloid Leukemia and Myelodysplastic Syndromes.,Purpose The optimal regimen intensity before allogeneic hematopoietic cell transplantation (HCT) is unknown. We hypothesized that lower treatment-related mortality (TRM) with reduced-intensity conditi…,6d09b924e073,,
40079105,Impact of hematopoietic cell transplantation and quizartinib in newly diagnosed patients with acute myeloid leukemia and FMS-like tyrosine kinase 3-internal tandem duplications in the QuANTUM-First trial.,QuANTUM-First (ClinicalTrials.gov identifier: NCT02668653) was a randomized phase III trial in patients with newly diagnosed FLT3-internal tandem duplication (ITD)-positive acute myeloid leukemia (AML…,6d09b924e073,NCT02668653,
32791048,"Sorafenib maintenance in patients with FLT3-ITD acute myeloid leukaemia undergoing allogeneic haematopoietic stem-cell transplantation: an open-label, multicentre, randomised phase 3 trial.",Findings of retrospective studies suggest that sorafenib maintenance post-transplantation might reduce relapse in patients with FLT3 internal tandem duplication (FLT3-ITD) acute myeloid leukaemia unde…,6d09b924e073,NCT02474290,
35349331,Sorafenib in Combination With Standard Chemotherapy for Children With High Allelic Ratio  FLT3 /ITD+ Acute Myeloid Leukemia: A Report From the Children's Oncology Group Protocol AAML1031.,"High allelic ratio (HAR)  FLT3 /ITD (AR > 0.4) mutations confer poor prognosis in pediatric acute myeloid leukemia (AML). COG AAML1031 studied the feasibility and efficacy of adding sorafenib, a multi…",6d09b924e073,,
40590852,"Impact of transplant conditioning, NPM1 mutations, and measurable residual disease in FLT3-ITD acute myeloid leukemia.","We conducted a post hoc analysis of data from Blood and Marrow Transplant Clinical Trials Network 1506 (MORPHO), a randomized trial of gilteritinib vs placebo as posttransplantation maintenance for pa…",6d09b924e073,NCT02997202,
39348668,Measurable residual disease monitoring in AML with FLT3-ITD treated with intensive chemotherapy plus midostaurin.,Measurable residual disease (MRD) monitoring in acute myeloid leukemia (AML) with an FLT3 internal tandem duplication (FLT3-ITDpos) has been hampered by the broad heterogeneity of ITD mutations. Using…,6d09b924e073,,
39183099,Efficacy and Safety of Gilteritinib versus Sorafenib as Post-Transplant Maintenance in Patients With FLT3-ITD Acute Myeloid Leukemia.,"FLT3-ITD AML is associated with an increased risk of relapse, leading many patients to receive an allogeneic hematopoietic stem cell transplantation (alloHCT) after induction. Unfortunately, relapse r…",6d09b924e073,,
