study_id,decision,cumulative_score,overall_notes,reasons_domains,reasons_codes,reasons_texts,population_matched_must_include,population_missing_must_include,population_exclude_flags_triggered,intervention_matched_must_include_any_of,intervention_exclude_flags_triggered,comparator_required,comparator_accept_single_arm,comparator_matched_must_include_any_of,comparator_missing,comparator_notes,outcomes_matched_required_any_of,outcomes_exclude_if_only_triggered,outcomes_notes,study_design_classified_as,study_design_matches_include_list,study_design_matches_exclude_list,other_estimated_sample_size,other_sample_size_ok,other_year_of_publication,other_within_year_range,other_language,other_language_allowed
38471061,include,10,"Study clearly meets all eligibility criteria for inclusion. It is a randomized trial comparing FLT3 inhibitor maintenance to placebo in adults with FLT3-ITD AML post-allogeneic HCT, reporting RFS and OS.",,,,Adults | FLT3-ITD | AML | allogeneic hematopoietic cell transplantation,,,FLT3 inhibitor maintenance,,True,False,placebo,False,"Comparator is placebo, which is an exact match for 'no TKI maintenance' or 'standard of care without TKI' in the context of a randomized trial.",relapse-free survival | RFS | overall survival | OS,False,"Primary endpoint is RFS, secondary is OS.",randomized controlled trial,True,False,356,True,,,English,True
37116523,exclude,2,"The study is excluded because the population does not specifically consist of patients who have undergone allogeneic stem-cell transplantation prior to maintenance therapy, which is a key requirement of the PICO.",population,wrong_population,"The study population consists of newly diagnosed FLT3-ITD-positive AML patients, where allogeneic stem-cell transplantation is an optional consolidation therapy, not a prerequisite for all patients entering the maintenance phase. The PICO requires patients who have already undergone allogeneic stem-cell transplantation.",adults | FLT3-ITD | acute myeloid leukemia | AML,allogeneic stem-cell transplantation (as a prerequisite for all patients),,tyrosine kinase inhibitor maintenance | TKI maintenance,,True,False,placebo,False,Placebo is used as the comparator for the continuation (maintenance) phase.,overall survival,False,Overall survival is the primary outcome.,randomized controlled trial,True,False,539,True,,,English,True
39775763,include,9,"The study is a randomized trial comparing TKI maintenance (gilteritinib) to placebo in the correct population (FLT3-ITD AML post-HCT) and reports relevant outcomes (RFS, OS). 'Adults' is implied but not explicitly stated in the abstract.",,,,FLT3-ITD-mutated acute myeloid leukemia (AML) | hematopoietic cell transplantation (HCT),adults,,gilteritinib maintenance therapy,,True,False,placebo,False,Study compares gilteritinib to placebo as required.,relapse-free survival (RFS) | survival,False,Relapse-free survival and overall survival (implied by 'survival') are reported.,randomized controlled trial,True,False,,,,,English,True
32673171,include,10,"This study perfectly aligns with all specified eligibility criteria, including population, intervention, comparator, outcomes, and study design. It is a randomized, placebo-controlled trial investigating TKI maintenance in the correct patient group.",,,,adult patients | FLT3-ITD-positive AML | allogeneic hematopoietic stem cell transplantation | HCT,,,tyrosine kinase inhibitor maintenance | FLT3 inhibitor maintenance | sorafenib maintenance,,True,False,placebo,False,"Study includes a placebo control arm, which is an exact match for the required comparator.",Relapse-free survival | RFS,False,Relapse-free survival (RFS) is explicitly stated as the primary endpoint.,randomized controlled trial,True,False,83,True,,,English,True
35081255,exclude,1,"The study is excluded due to significant mismatches in population, intervention, and comparator. The primary population is R/R AML, not post-allo-SCT, and the comparator is active salvage chemotherapy, not 'no TKI maintenance'.",comparator | population | intervention,wrong_comparator | wrong_population | wrong_intervention,"The study compares gilteritinib to salvage chemotherapy (SC), which is an active treatment and does not match the required comparator of 'no TKI maintenance', 'observation', 'placebo', or 'standard of care without TKI'. | The primary study population consists of patients with relapsed/refractory FLT3-mutation-positive acute myeloid leukemia (AML), not specifically adults who have undergone allogeneic stem-cell transplantation as required by the PICO. Only a subset of patients underwent HSCT. | The main intervention described is gilteritinib for relapsed/refractory AML, which is not primarily TKI maintenance therapy after allogeneic stem-cell transplantation for the entire cohort. While a subgroup received post-HSCT maintenance, this is not the focus of the study.",FLT3-mutation-positive acute myeloid leukemia | AML,adults | allogeneic stem-cell transplantation,,gilteritinib | FMS-like tyrosine kinase 3 inhibitor | post-HSCT gilteritinib maintenance treatment,,True,False,,True,"Study compares gilteritinib to salvage chemotherapy, which is an active treatment and not 'no TKI maintenance' or similar.",overall survival | relapse,False,Overall survival and relapse incidence are reported.,randomized controlled trial,True,False,371,True,,,English,True
41052406,exclude,1,"The study is excluded primarily because the population does not include patients who have undergone allogeneic stem-cell transplantation, and the intervention context (TKI during induction/consolidation) is explicitly excluded by the criteria.",population | intervention,wrong_population | wrong_intervention_context,"The study population consists of patients with newly diagnosed FLT3-ITD-mutated AML receiving TKI during induction/consolidation and maintenance, but does not specify patients who have undergone allogeneic stem-cell transplantation as required by the PICO. | The intervention involves quizartinib (TKI) added to induction and consolidation chemotherapy, which is explicitly excluded by the criteria ('TKI induction', 'TKI consolidation'). The maintenance phase is not specified as post-allogeneic stem-cell transplantation.",FLT3-ITD | acute myeloid leukemia | AML,adults | allogeneic stem-cell transplantation,,FLT3 inhibitor maintenance | monotherapy maintenance,TKI induction | TKI consolidation,True,False,placebo,False,Study compares quizartinib to placebo.,survival | relapse,False,"Survival and relapse outcomes are reported, implying overall survival and relapse-free survival.",randomized controlled trial,True,False,,,,,English,True
31175001,exclude,1,"The study is excluded because the intervention is salvage therapy, not maintenance, and the comparator is active chemotherapy, not 'no TKI maintenance'. The population also does not strictly meet the 'after allogeneic stem-cell transplantation' requirement for all patients.",intervention | comparator | population,wrong_intervention_type | wrong_comparator | wrong_population,"The study investigates quizartinib as salvage therapy for relapsed or refractory acute myeloid leukemia, not as maintenance therapy after allogeneic stem-cell transplantation as required by the PICO. | The study's comparator is active salvage chemotherapy, which does not match the required 'no TKI maintenance' comparator for the PICO. | The study population includes patients with or without prior allogeneic stem-cell transplantation, whereas the PICO specifically requires patients who have undergone allogeneic stem-cell transplantation.",adults | FLT3-ITD | acute myeloid leukemia | AML,allogeneic stem-cell transplantation (as a prerequisite for all patients),,,TKI induction | TKI consolidation,True,False,,True,"Comparator is active salvage chemotherapy, not 'no TKI maintenance'.",overall survival,False,Overall survival is reported.,randomized controlled trial,True,False,367,True,2017,True,English,True
34914826,exclude,1,"The study is excluded due to significant mismatches in population (B-ALL instead of FLT3-ITD AML), intervention (Blinatumomab instead of TKI), and the absence of a required comparator arm.",population | intervention | comparator,wrong_population | wrong_intervention | missing_required_comparator,"The study population is B-lineage acute lymphoblastic leukemia (ALL), not FLT3-ITD-mutated acute myeloid leukemia (AML) as required. | The intervention is blinatumomab maintenance, which is not a tyrosine kinase inhibitor (TKI) maintenance therapy. | The study is described as a single-center phase 2 study, which is primarily single-arm. Although a 'matched analysis with a contemporary cohort' is mentioned, the eligibility criteria require a specific comparator and do not accept single-arm designs.",allogeneic hematopoietic cell transplantation,adults | FLT3-ITD | acute myeloid leukemia | AML,other leukemia,,non-TKI maintenance,True,False,,True,Primarily a single-arm feasibility study; a 'matched analysis with a contemporary cohort' is mentioned but not a prospectively designed comparator arm.,graft-versus-host disease | GVHD | overall survival | OS,False,Reports overall survival and graft-versus-host disease.,clinical trial,True,False,21,True,,,English,True
39019012,exclude,1,"The study is primarily preclinical (in vitro and mouse models) and does not meet the population (post-allogeneic stem-cell transplantation), intervention (TKI maintenance), or comparator requirements. It also violates the 'humans_only' criterion.",population | intervention | comparator | study_design | other,wrong_population | wrong_intervention | wrong_comparator | wrong_design | non_human,"The study population does not specify patients who have undergone allogeneic stem-cell transplantation, which is a required component of the population. | The intervention described is a combination of metformin and gilteritinib for treating FLT3-ITD AML, not specifically TKI maintenance therapy after allogeneic stem-cell transplantation. | The study does not include a comparator arm of 'no TKI maintenance' in the post-transplant setting, which is a required comparator. | The study primarily involves in vitro experiments and mouse models, which are explicitly excluded study designs. | The study includes animal models ('mouse models'), violating the 'humans_only' criterion.",FLT3-ITD | acute myeloid leukemia | AML,adults | allogeneic stem-cell transplantation,,gilteritinib,,True,False,,True,The study does not describe a comparator arm of 'no TKI maintenance' in the post-transplant setting.,survival | survival rates,False,Survival outcomes are mentioned in both preclinical and clinical analysis.,"animal study, in vitro study",False,True,,,,,English,True
41082703,exclude,1,"The study is excluded due to a fundamental mismatch in the population, specifically the FLT3-ITD status (negative vs. required positive) and the absence of allogeneic stem-cell transplantation as a prerequisite for patients.",population,wrong_population,"The study population is 'FLT3-ITD-negative AML', whereas the eligibility criteria require 'FLT3-ITD-mutated' (positive) AML. Additionally, the study does not specify that patients have undergone 'allogeneic stem-cell transplantation' as required by the PICO.",adults | acute myeloid leukemia | AML,FLT3-ITD | allogeneic stem-cell transplantation,FLT3-ITD-negative,quizartinib | FLT3 inhibitor maintenance | TKI maintenance,,True,False,placebo,False,Placebo arm serves as 'no TKI maintenance' comparator.,overall survival | OS,False,Overall survival is a secondary endpoint.,randomized controlled trial,True,False,273,True,,,English,True
39821010,exclude,1,"The study is excluded because the population is Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ALL), not FLT3-ITD-mutated acute myeloid leukemia (AML) as required by the PICO.",population,wrong_population,"The study population is Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ALL), which is a different disease than the required FLT3-ITD-mutated acute myeloid leukemia (AML).",adults | allogeneic hematopoietic cell transplantation | allo-HCT,FLT3-ITD | acute myeloid leukemia | AML,other leukemia,Post-transplant tyrosine kinase inhibitors | TKIs | prophylactic TKIs | MRD-triggered TKI administration,,True,False,non-TKI,False,Study compares TKI groups to a non-TKI group.,relapse-free survival | RFS,False,Relapse-free survival is reported.,cohort study,True,False,173,True,,,English,True
