study_id,decision,cumulative_score,overall_notes,reasons_domains,reasons_codes,reasons_texts,population_matched_must_include,population_missing_must_include,population_exclude_flags_triggered,intervention_matched_must_include_any_of,intervention_exclude_flags_triggered,comparator_required,comparator_accept_single_arm,comparator_matched_must_include_any_of,comparator_missing,comparator_notes,outcomes_matched_required_any_of,outcomes_exclude_if_only_triggered,outcomes_notes,study_design_classified_as,study_design_matches_include_list,study_design_matches_exclude_list,other_estimated_sample_size,other_sample_size_ok,other_year_of_publication,other_within_year_range,other_language,other_language_allowed
32673171,include,10,"This study perfectly aligns with all specified eligibility criteria, including population, intervention, comparator, outcomes, and study design. It is a randomized, placebo-controlled trial investigating TKI maintenance in the correct patient group.",,,,adult patients | FLT3-ITD-positive AML | allogeneic hematopoietic stem cell transplantation | HCT,,,tyrosine kinase inhibitor maintenance | FLT3 inhibitor maintenance | sorafenib maintenance,,True,False,placebo,False,"Study includes a placebo control arm, which is an exact match for the required comparator.",Relapse-free survival | RFS,False,Relapse-free survival (RFS) is explicitly stated as the primary endpoint.,randomized controlled trial,True,False,83,True,,,English,True
38471061,include,10,"Study clearly meets all eligibility criteria for inclusion. It is a randomized trial comparing FLT3 inhibitor maintenance to placebo in adults with FLT3-ITD AML post-allogeneic HCT, reporting RFS and OS.",,,,Adults | FLT3-ITD | AML | allogeneic hematopoietic cell transplantation,,,FLT3 inhibitor maintenance,,True,False,placebo,False,"Comparator is placebo, which is an exact match for 'no TKI maintenance' or 'standard of care without TKI' in the context of a randomized trial.",relapse-free survival | RFS | overall survival | OS,False,"Primary endpoint is RFS, secondary is OS.",randomized controlled trial,True,False,356,True,,,English,True
38968140,exclude,0,"The study is excluded due to multiple major mismatches in population (pediatric patients with Fanconi anemia instead of adult FLT3-ITD AML), intervention (no TKI maintenance), and comparator (no 'no TKI maintenance' arm).",population | intervention | comparator,wrong_population | wrong_intervention | wrong_comparator,"The study population consists of 'pediatric patients' with 'Fanconi anemia', which directly contradicts the required 'adults' with 'FLT3-ITD-mutated acute myeloid leukemia' and triggers explicit exclusion criteria for 'pediatric' and 'children'. | The study does not investigate 'tyrosine kinase inhibitor maintenance therapy' or any related TKI maintenance, which is the required intervention. | The study compares different donor types and conditioning regimens, but does not include 'no TKI maintenance' as a comparator, which is a required criterion.",allogeneic stem-cell transplantation | AML,adults | FLT3-ITD,pediatric | children,,,True,False,,True,"Study compares different donor types and conditioning regimens, not TKI maintenance vs no TKI maintenance.",overall survival | relapse-free survival | graft-versus-host disease,False,"Overall survival, event-free survival, GVHD-free, relapse-free survival, and GVHD incidences are reported.",retrospective multicenter study,True,False,813,True,2018,True,English,True
38696205,exclude,1,The study is excluded because it does not evaluate the specified intervention (TKI maintenance therapy) or comparator (no TKI maintenance). It is a prognostic study on measurable residual disease.,intervention | comparator,wrong_intervention | missing_required_comparator,"The study does not evaluate tyrosine kinase inhibitor (TKI) maintenance therapy as an intervention. It focuses on the prognostic value of measurable residual FLT3-ITD. | The study does not compare TKI maintenance therapy to no TKI maintenance. It is an observational cohort study examining the association of pre-transplant MRD levels with outcomes, not an intervention study.",adults | acute myeloid leukemia | AML | FLT3 internal tandem duplication | FLT3-ITD | allogeneic hematopoietic cell transplant,,,,,True,False,,True,The study is observational and does not have a comparator for TKI maintenance therapy.,overall survival | relapse,False,Overall survival and relapse (related to relapse-free survival) are reported.,cohort study,True,False,537,True,,,English,True
38364112,exclude,1,"The study is excluded because the intervention is allogeneic stem-cell transplantation itself, not TKI maintenance therapy, and the comparator is accordingly different from the PICO. While the population includes FLT3-ITD AML patients and reports overall survival, the core intervention and comparator do not match the eligibility criteria.",intervention | comparator,wrong_intervention | wrong_comparator,"The study investigates the impact of allogeneic stem-cell transplantation itself, not tyrosine kinase inhibitor (TKI) maintenance therapy after transplantation as required by the PICO. | The study's comparator is 'without allogeneic stem-cell transplantation', which does not match the required comparator of 'no TKI maintenance' after transplantation.",acute myeloid leukemia | AML | allogeneic transplant | FLT3-ITD,,,,,True,False,,True,"Study compares allogeneic transplant vs. no allogeneic transplant, not TKI maintenance vs. no TKI maintenance.",overall survival | OS,False,Overall survival is reported.,cohort study,True,False,737,True,,,English,True
28380315,exclude,1,"The study is excluded due to fundamental mismatches in population (inclusion of MDS, missing FLT3-ITD), intervention (conditioning regimen vs TKI maintenance), and comparator (different conditioning regimen vs no TKI maintenance).",population | intervention | comparator,wrong_population | wrong_intervention | wrong_comparator,"The study population includes patients with myelodysplastic syndromes (MDS), which is an exclusion criterion. It also does not specify FLT3-ITD mutation. | The intervention studied is myeloablative versus reduced-intensity conditioning before hematopoietic cell transplantation, not tyrosine kinase inhibitor (TKI) maintenance therapy. | The comparator is a different conditioning regimen (MAC vs RIC), not 'no TKI maintenance' or 'observation' as required for TKI maintenance studies.",adults | acute myeloid leukemia | AML | allogeneic stem-cell transplantation,FLT3-ITD,myelodysplastic syndrome | MDS,,,True,False,,True,"Study compares two different conditioning regimens, not TKI maintenance vs no TKI maintenance.",overall survival | OS | relapse-free survival | RFS,False,Overall survival and relapse-free survival are reported.,randomized controlled trial,True,False,272,True,,,English,True
40079105,include,9,"The study is a randomized phase III trial comparing quizartinib (a TKI) maintenance therapy to placebo in FLT3-ITD positive AML patients who underwent allo-HCT, reporting on overall survival and GVHD. This aligns well with all eligibility criteria.",,,,adults | FLT3-internal tandem duplication (ITD)-positive acute myeloid leukemia (AML) | allogeneic hematopoietic cell transplantation (allo-HCT),,,quizartinib maintenance therapy | single-agent maintenance therapy,,True,False,placebo,False,Study compares quizartinib to placebo as maintenance therapy.,overall survival (OS) | graft-versus-host disease,False,Reports overall survival and graft-versus-host disease.,randomized phase III trial,True,False,,,,,English,True
32791048,include,10,"The study perfectly matches all specified eligibility criteria for population, intervention, comparator, outcomes, and study design. The sample size is clearly stated, and the language is English. No exclusion criteria were triggered.",,,,adults | FLT3-ITD | acute myeloid leukemia | AML | allogeneic stem-cell transplantation,,,tyrosine kinase inhibitor maintenance | TKI maintenance | FLT3 inhibitor maintenance,,True,False,no TKI maintenance,False,"Study compares sorafenib maintenance to non-maintenance (control), which aligns with 'no TKI maintenance'.",relapse-free survival | graft-versus-host disease | GVHD,False,"Primary endpoint is 1-year cumulative incidence of relapse (related to RFS), and GVHD is reported.",randomized controlled trial,True,False,202,True,,,English,True
35349331,exclude,1,"The study is excluded because the population is clearly pediatric, which directly contradicts the 'adults' requirement. While the intervention, comparator, and outcomes align, the population mismatch is a critical exclusion criterion.",population,wrong_population,"The study population consists of 'children' and 'pediatric' patients, whereas the eligibility criteria specify 'adults'. The study also does not primarily focus on patients who have undergone 'allogeneic stem-cell transplantation' as the defining characteristic of the population for the intervention.",,adults | allogeneic stem-cell transplantation,pediatric | children,tyrosine kinase inhibitor maintenance | TKI maintenance,,True,False,no TKI maintenance,False,"Comparator is 'identical chemotherapy without sorafenib', which implies no TKI maintenance.",relapse-free survival,False,"Outcomes include 'event-free survival', 'disease-free survival', and 'relapse risk', which are related to relapse-free survival.",clinical trial,True,False,148,True,,,English,True
40590852,include,9,"The study is a randomized trial of gilteritinib maintenance vs placebo in FLT3-ITD AML patients post-allogeneic HCT, directly addressing the PICO. While 'adults' is not explicitly stated, 'patients' in this context typically refers to adults. All other key criteria are met.",,,,FLT3-ITD-mutated acute myeloid leukemia | AML | allogeneic hematopoietic cell transplantation,adults,,gilteritinib as posttransplantation maintenance,,True,False,placebo,False,"Study compares gilteritinib vs placebo, which is an exact match for the required comparator.",relapse-free survival,False,Study mentions 'relapse-free survival benefit' and 'cumulative incidence of relapse'.,randomized controlled trial,True,False,,,,,English,True
